title,interviewee,interviewer,date,datenice,dates,affiliation (role),affiliation (department),description,biography,subject (lcsh),subjects (lctgm),subject,location,object type,notes,language,language code,digital collection,digital id number,ordering information,citation information,repository,repository collection,rights uri,restrictions,type,staff notes,cataloging,extent,format,original format,file name,digital reproduction information,oclc number,date created,date modified,reference url,compound-parent,compound,cdmid,contentdm file name,contentdm file path,objectid,reference_url
"Jamie McGee, photograph","","","","","","","","","","","","","","Oral histories","","","","University of Washington Tacoma Oral History: Founding Stories","UWTOH201902-Image","","","","","","","StillImage","","","","image/jpg","image/jpg","uwtlib_uwtoralhistory_jmcgee_photo.jpg","","","2020-02-27","2020-02-27","http://cdm16786.contentdm.oclc.org/cdm/ref/collection/p16786coll18/id/37","40","","37","38.jp2","/p16786coll18/image/38.jp2","foundingstories37","https://uwtacomalibrary.github.io/foundingstories/items/foundingstories37.html"
"Jamie McGee, audio","","","","","","","","","","","","","","Oral histories","","","","University of Washington Tacoma Oral History: Founding Stories","UWTOH201902-Audio","","","","","","","Sound","","","1:28:28","audio/mp3","audio/wav","uwtlib_uwtoralhistory_jmcgee_access.mp3","Converted from digital 24bit/96kHz wav fiiles to 32bit/48kHz mp3 fiiles in 2019.","","2020-02-27","2020-02-27","http://cdm16786.contentdm.oclc.org/cdm/ref/collection/p16786coll18/id/38","40","","38","39.mp3","/p16786coll18/image/39.mp3","foundingstories38","https://uwtacomalibrary.github.io/foundingstories/items/foundingstories38.html"
"Jamie McGee, transcript","","","","","","","","","","","","","","Oral histories","","","","University of Washington Tacoma Oral History: Founding Stories","UWTOH201902-Transcript","","","","","","","Text","","","20 pages","application/pdf","text/docs","uwtlib_uwtoralhistory_jmcgee_transcript.pdf","","","2020-02-27","2020-02-27","http://cdm16786.contentdm.oclc.org/cdm/ref/collection/p16786coll18/id/39","40","","39","40.pdf","/p16786coll18/image/40.pdf","foundingstories39","https://uwtacomalibrary.github.io/foundingstories/items/foundingstories39.html"
"Jamie McGee interview","McGee, Jamie","Hua, Joan, 1989-","2019-11-06","November 6, 2019","2019","Student","School of Interdisciplinary Arts and Science","In this interview, Jamie McGee discusses her personal and educational trajectory and her transformative experience at UW Tacoma. She recounts in detail classes she took from UW Tacoma professors, including Emily Ignacio, Michael Honey, Trista Huckleberry, and Luther Adams. In the second half of the interview, she describes the origins of the now annual Martin Luther King, Jr., Unity Breakfast, which she and her classmates in the Black Student Union began to organize in late 2006.","Jamie McGee was Jamie Glaze when she attended University of Washington Tacoma and graduated in 2007. She was born in Brooklyn, New York, and grew up in a military family in Germany. She graduated from high school in 1987. Before returning to school for college, she served in the Army, was stationed in For Lewis, and worked in law enforcement at Port of Tacoma. By the time she enrolled at UW Tacoma, she was 28 years old and a single parent. Throughout her time as a student, she remained active in church and as a mentor, regularly hosting and supporting exchange students, youth, and adults in difficult circumstances. In 2006, she started her nonprofit Girls Reclaiming Individual Purpose in Society (GRIPS), which she co-directed with her UW Tacoma classmate Chana Lawson. She holds an MA in psychology from Chapman University.","McGee, Jamie--Interviews; Ignacio, Emily; Honey, Michael K.; Black Student Union (University of Washington); University of Washington Tacoma--Students; Veterans--Washington (State)--Tacoma; University of Washington Tacoma--History","","veteran; military; student parent; community outreach; mentorship; diversity; youth services; at-risk girls; Black Student Union (BSU); student organization; MLK Jr. Unity Breakfast; Emily Ignacio; Michael Honey; Trista Huckleberry; Luther Adams; Martin Luther King Jr.; civil rights movement","United States--Washington (State)--Tacoma; United States--Washington (State)--Fort Lewis","Oral histories","The oral history interview with Jamie McGee was part of the “Founding Stories” phase of the UW Tacoma Oral History Project.","English","eng","University of Washington Tacoma Oral History: Founding Stories","UWTOH201902","To request a high resolution or uncompressed reproduction, or to obtain permission to use any portion of this item, contact University of Washington Tacoma Library. Email: taclibdc@uw.edu. Please reference the Digital ID Number.","University of Washington Libraries, University of Washington Tacoma Library, UWTOH201902","University of Washington Tacoma Library","UW Tacoma Oral History, Founding Stories","http://rightsstatements.org/vocab/InC-EDU/1.0/","Individuals may use project materials for scholarly or research purposes, according to the provisions of fair use, but reproducing, publishing, or broadcasting any oral history project materials requires permission. For more information, see: http://content.lib.washington.edu","Sound; Text; StillImage","update URL for Restrictions","","","cpd","","","","1142992080","2020-02-27","2020-03-04","http://cdm16786.contentdm.oclc.org/cdm/ref/collection/p16786coll18/id/40","","37; 38; 39","40","41.cpd","/p16786coll18/image/41.cpd","foundingstories40","https://uwtacomalibrary.github.io/foundingstories/items/foundingstories40.html"
"Steve Smith, photograph","","","","","","","","","","","","","","Oral histories","","","","University of Washington Tacoma Oral History: Founding Stories","UWTOH202001-Image","","","","","","","StillImage","","","","image/jpg","image/jpg","uwtlib_uwtoralhistory_stevesmith_photo.jpg","","","2020-02-27","2020-02-27","http://cdm16786.contentdm.oclc.org/cdm/ref/collection/p16786coll18/id/41","44","","41","42.jp2","/p16786coll18/image/42.jp2","foundingstories41","https://uwtacomalibrary.github.io/foundingstories/items/foundingstories41.html"
"Steve Smith, audio","","","","","","","","","","","","","","Oral histories","","","","University of Washington Tacoma Oral History: Founding Stories","UWTOH202001-Audio","","","","","","","Sound","","","1:43:07","audio/mp3","audio/wav","uwtlib_uwtoralhistory_stevesmith_access.mp3","Converted from digital 24bit/96kHz wav fiiles to 32bit/48kHz mp3 fiiles in 2020.","","2020-02-27","2020-02-27","http://cdm16786.contentdm.oclc.org/cdm/ref/collection/p16786coll18/id/42","44","","42","43.mp3","/p16786coll18/image/43.mp3","foundingstories42","https://uwtacomalibrary.github.io/foundingstories/items/foundingstories42.html"
"Steve Smith, transcript","","","","","","","","","","","","","","Oral histories","","","","University of Washington Tacoma Oral History: Founding Stories","UWTOH202001-Transcript","","","","","","","Text","","","28 pages","application/pdf","text/docs","uwtlib_uwtoralhistory_stevesmith_transcript.pdf","","","2020-02-27","2020-02-27","http://cdm16786.contentdm.oclc.org/cdm/ref/collection/p16786coll18/id/43","44","","43","44.pdf","/p16786coll18/image/44.pdf","foundingstories43","https://uwtacomalibrary.github.io/foundingstories/items/foundingstories43.html"
"Steve Smith interview","Smith, Steve","Hua, Joan, 1989-","2020-01-08","January 8, 2020","2020","Staff","Administration; Student Affairs; Admissions; Communtiy Relations","In this interview, Steve Smith recounts stories from his tenure at UW Tacoma during its early years, including anecdotes of students who returned to school mid-career, snapshots of graduation ceremonies, and past conversations with administrators and colleagues. At the start of the interview, Steve Smith describes his impressions of downtown Tacoma in the late 1970s and early ’80s. Further into the interview, he shares his experience working as an administrator who maintained close connections with colleagues at UW Seattle. He describes his involvement in the unique South Puget Sound Diversity Partnership. In conclusion, Smith emphasizes UW Tacoma’s remarkable connection with the local community, sharing his insights into the education system in the area from K-12 to college.","Steve Smith (b. 1959) came to UW Tacoma during its initial academic year in the fall of 1990 as the Director of Admissions, Student Affairs, and Community Relations. He worked at UW Tacoma until 2009. Currently the executive director of the Black Education Strategy Roundtable, he has had a career lasting over 25 years in college administration in Tacoma. He is active in the community, serves as a board member of Pierce College, and has served on many community boards, such as the Rotary Club of Tacoma #8, Tacoma-Pierce County Black Collective, and Tacoma Community House. He has a BA in Psychology and an MA in Guidance and Counseling from Pacific Lutheran University. He grew up in Portland, Oregon, and currently resides in University Place.","Smith, Steve--Interviews; University of Washington Tacoma--Employees; Black Education Strategy Roundtable; South Puget Sound Diversity Partnership; University of Washington Tacoma--History","","interdisciplinary education; community outreach; recruitment; diversity; student services; nontraditional students; Vicky Carwein; Jack Keating; Bill Richardson","United States--Washington (State)--Tacoma","Oral histories","The oral history interview with Steve Smith was part of the “Founding Stories” phase of the UW Tacoma Oral History Project.","English","eng","University of Washington Tacoma Oral History: Founding Stories","UWTOH202001","To request a high resolution or uncompressed reproduction, or to obtain permission to use any portion of this item, contact University of Washington Tacoma Library. Email: taclibdc@uw.edu. Please reference the Digital ID Number.","University of Washington Libraries, University of Washington Tacoma Library, UWTOH202001","University of Washington Tacoma Library","UW Tacoma Oral History, Founding Stories","http://rightsstatements.org/vocab/InC-EDU/1.0/","Individuals may use project materials for scholarly or research purposes, according to the provisions of fair use, but reproducing, publishing, or broadcasting any oral history project materials requires permission. For more information, see: http://content.lib.washington.edu","Sound; Text; StillImage","update URL for Restrictions","","","cpd","","","","1156626079","2020-02-27","2020-03-02","http://cdm16786.contentdm.oclc.org/cdm/ref/collection/p16786coll18/id/44","","41; 42; 43","44","45.cpd","/p16786coll18/image/45.cpd","foundingstories44","https://uwtacomalibrary.github.io/foundingstories/items/foundingstories44.html"
"Dan Grimm, photograph","","","","","","","","","","","","","","Oral histories","","","","University of Washington Tacoma Oral History: Founding Stories","UWTOH201808-Image","","","","","","","StillImage","","","","image/jpg","image/jpg","uwtlib_uwtoralhistory_dgrimm_photo.jpg","","","2020-02-27","2020-02-27","http://cdm16786.contentdm.oclc.org/cdm/ref/collection/p16786coll18/id/45","48","","45","46.jp2","/p16786coll18/image/46.jp2","foundingstories45","https://uwtacomalibrary.github.io/foundingstories/items/foundingstories45.html"
"Dan Grimm, audio","","","","","","","","","","","","","","Oral histories","","","","University of Washington Tacoma Oral History: Founding Stories","UWTOH201808-Audio","","","","","","","Sound","","","1:21:24","audio/mp3","audio/wav","uwtlib_uwtoralhistory_dgrimm_access.mp3","Converted from digital 24bit/96kHz wav fiiles to 16bit/24kHz mp3 fiiles in 2018.","","2020-02-27","2020-02-27","http://cdm16786.contentdm.oclc.org/cdm/ref/collection/p16786coll18/id/46","48","","46","47.mp3","/p16786coll18/image/47.mp3","foundingstories46","https://uwtacomalibrary.github.io/foundingstories/items/foundingstories46.html"
"Dan Grimm, transcript","","","","","","","","","","","","","","Oral histories","","","","University of Washington Tacoma Oral History: Founding Stories","UWTOH201808-Transcript","","","","","","","Text","","","24 pages","application/pdf","text/docs","uwtlib_uwtoralhistory_dgrimm_transcript.pdf","","","2020-02-27","2020-02-27","http://cdm16786.contentdm.oclc.org/cdm/ref/collection/p16786coll18/id/47","48","","47","48.pdf","/p16786coll18/image/48.pdf","foundingstories47","https://uwtacomalibrary.github.io/foundingstories/items/foundingstories47.html"
"Dan Grimm interview","Grimm, Dan, 1949-","Williams, Charles Thomas","2018-07-20","July 20, 2018","2018","Government official; Community member","Pierce County","At the start of this interview, Dan Grimm sheds light on the origins of the idea of a public university in the South Sound, which began in the 1970s. He explains the structure of higher education in the state of Washington, stating that it was aligned with the demographics more than 100 years ago. He explains how the population changes overtime have especially impacted the South Puget Sound region, and that the resulting disparity in education opportunities became a genesis for the founding of the University. Grimm recounts his roles on the House Higher Education Committee, when he started to advocate for university campuses in the area, stretching from Everett, along the east side of Lake Washington, and down to Tacoma. He discusses the revitalization of Downtown Tacoma and the restoration of the Union Station, crediting former Representative Jim Salatino for starting the Theater District. Grimm proceeds to discuss the political advantages and obstacles he and his colleagues in the legislature faced in the early stages of trying to establish a branch campus in Tacoma, and he recounts the dramatic turn of events when Sam Smith, who was in favor of branch campuses, became the new president of Washington State University and took a helicopter tour of the city. In the second half of the interview, Grimm goes into more detail about steps to place the UW Tacoma campus in Downtown and to create the South Puget Sound Higher Education Council. In closing, Grimm shares his opinions on the future direction of UW Tacoma and his perspective on state funding for higher education in Washington.","Dan Grimm (b. 1949) represented Puyallup, Washington, in the state House of Representatives for six terms from 1977 to 1988, and he left the legislature just before the opening of the University of Washington Tacoma. He began this career at age 24 in 1973 as a staff member in the House Higher Education Committee, before he became the director of the non-partisan policy office of the House. When he was elected, he served as the vice chairman and later chairman of the Higher Education Committee. He continued to be involved in higher education matters when he served as the Caucus Chair and then the chair of the House Ways and Means Committee for three terms. During this time, he was a strong and influential advocate for educational opportunities in the Puget Sound area, especially Tacoma. For instance, he worked with former Representative and Tacoma mayor Brian Ebersole and prominent businessman Fred Haley to establish the South Puget Sound Higher Education Council, representing community interests. He also was key to securing state funding for the restoration of Union Station and the construction of the Washington State History Museum. When he left the legislature in 1988, he became the State Treasurer and served two terms. He is currently the Deputy Executive and Chief Operating Officer for Pierce County.","Grimm, Dan, 1949- --Interviews; Legislators--Washington (State); South Puget Sound Higher Education Council; Ebersole, Brian; University of Washington Tacoma--History","","South Puget Sound Higher Education Council; higher education; place-bound students; nontraditional students; urban development; Bill Gerberding; Kelso Gillenwater; News Tribune; Washington State Legislature; House Ways and Means Committee; Higher Education Coordinating (HEC) Board; Bill Chance; Donna Kerr; Brian Ebersole; Chuck Collins; Theater District; Union Station; Glenn Terrell; Sam Smith; warehouse district","United States--Washington (State)--Tacoma; United States--Washington (State)--Seattle; United States--Washington (State)--Olympia; United States--Washington (State)--Everett; United States--Washington (State)--Puyallup","Oral histories","The oral history interview with Dan Grimm was part of the &amp;quot;Founding Stories&amp;quot; phase of the UW Tacoma Oral History Project.","English","eng","University of Washington Tacoma Oral History: Founding Stories","UWTOH201808","To request a high resolution or uncompressed reproduction, or to obtain permission to use any portion of this item, contact University of Washington Tacoma Library. Email: taclibdc@uw.edu. Please reference the Digital ID Number.","University of Washington Libraries, University of Washington Tacoma Library, UWTOH201808","University of Washington Tacoma Library","UW Tacoma Oral History, Founding Stories","http://rightsstatements.org/vocab/InC-EDU/1.0/","Individuals may use project materials for scholarly or research purposes, according to the provisions of fair use, but reproducing, publishing, or broadcasting any oral history project materials requires permission. For more information, see: http://content.lib.washington.edu","Sound; Text; StillImage","update URL for Restrictions","","","cpd","","","","1142992012","2020-02-27","2020-03-04","http://cdm16786.contentdm.oclc.org/cdm/ref/collection/p16786coll18/id/48","","45; 46; 47","48","49.cpd","/p16786coll18/image/49.cpd","foundingstories48","https://uwtacomalibrary.github.io/foundingstories/items/foundingstories48.html"
"Lisa Rankin Faircloth, photograph","","","","","","","","","","","","","","Oral histories","","","","University of Washington Tacoma Oral History: Founding Stories","UWTOH201903-Image","","","","","","","StillImage","","","","image/jpg","image/jpg","uwtlib_uwtoralhistory_lrankin_photo.jpg","","","2020-04-09","2020-04-09","http://cdm16786.contentdm.oclc.org/cdm/ref/collection/p16786coll18/id/49","52","","49","50.jp2","/p16786coll18/image/50.jp2","foundingstories49","https://uwtacomalibrary.github.io/foundingstories/items/foundingstories49.html"
"Lisa Rankin Faircloth, audio","","","","","","","","","","","","","","Oral histories","","","","University of Washington Tacoma Oral History: Founding Stories","UWTOH201903-Audio","","","","","","","Sound","","","1:27:40","audio/mp3","audio/wav","uwtlib_uwtoralhistory_lrankin_access.mp3","Converted from digital 24bit/96kHz wav files to 32bit/48kHz mp3 files in 2019.","","2020-04-09","2020-05-27","http://cdm16786.contentdm.oclc.org/cdm/ref/collection/p16786coll18/id/50","52","","50","51.mp3","/p16786coll18/image/51.mp3","foundingstories50","https://uwtacomalibrary.github.io/foundingstories/items/foundingstories50.html"
"Lisa Rankin Faircloth, transcript","","","","","","","","","","","","","","Oral histories","","","","University of Washington Tacoma Oral History: Founding Stories","UWTOH201903-Transcript","","","","","","","Text","","","27 pages","application/pdf","text/docs","uwtlib_uwtoralhistory_lrankin_transcript.pdf","","","2020-04-09","2020-04-09","http://cdm16786.contentdm.oclc.org/cdm/ref/collection/p16786coll18/id/51","52","","51","52.pdf","/p16786coll18/image/52.pdf","foundingstories51","https://uwtacomalibrary.github.io/foundingstories/items/foundingstories51.html"
"Lisa Rankin Faircloth interview","Rankin Faircloth, Lisa","Hua, Joan, 1989-","2019-12-23","December 23, 2019","2019","Staff","Administration; Student Affairs; Admissions; Advising","Lisa Rankin Faircloth begins her interview by recounting her trajectory working in higher education, which started at Tacoma Community College. She describes her encounter with Carl Rueben Brown, who was president of the NAACP Tacoma branch and active in the Black Collective and Tacoma Urban League. Recalling former colleagues like Steve Smith, Rebecca Gallogly, and Lisa Tice, she shares memories working in Student Affairs when UW Tacoma was creating new programs from scratch. Discussing her close interactions with students through advising and the Black Student Union (BSU), she mentions early alumni, including Bryan Neal, Jelisa Marshall, Clearance Slaughter, and Irish Finch. In the later part of the interview, she discusses significant events in the UW Tacoma history, including the BSU&#39;s advocating for diversity and representation in faculty hiring and collective bargaining efforts when she was the chapter president of SEIU Local 925.","Lisa Rankin Faircloth (b. 1961) was born in Tacoma and grew up in Spanaway, Washington. Before she came to UW Tacoma in 1992, she had worked at Tacoma Community College and University of Puget Sound. At UW Tacoma, she eventually became the Multicultural Recruitment, Admissions, and Retention Specialist. She advised students, helping them to navigate the complex academic system and to transition from community colleges, military services, family life, and professional careers. She played an important role in conducting community outreach and recruiting diverse students from Tacoma public schools. She has been the advisor for the Black Student Union (BSU) more than once. As a member of SEIU Local 925, she has served as a union steward and the chapter president representing all three UW campuses. She left UW Tacoma in 2009. She is now a minister and lives in South Carolina.","Rankin Faircloth, Lisa--Interviews; Labor union members--Washington (State)--Tacoma; Service Employees International Union. Local 925 (Seattle, Wash.); University of Washington Tacoma--History","","Recruitment; retention; advising; community outreach; Tacoma Public Schools; Black Collective; Black Student Union (BSU); SEIU Local 925; labor union; student organization; diversity","United States--Washington (State)--Tacoma","Oral histories","The oral history interview with Lisa Rankin Faircloth was part of the “Founding Stories” phase of the UW Tacoma Oral History Project.","English","eng","University of Washington Tacoma Oral History: Founding Stories","UWTOH201903","To request a high resolution or uncompressed reproduction, or to obtain permission to use any portion of this item, contact University of Washington Tacoma Library. Email: taclibdc@uw.edu. Please reference the Digital ID Number.","University of Washington Libraries, University of Washington Tacoma Library, UWTOH201903","University of Washington Tacoma Library","University of Washington Tacoma Oral History: Founding Stories","http://rightsstatements.org/vocab/InC-EDU/1.0/","Individuals may use project materials for scholarly or research purposes, according to the provisions of fair use, but reproducing, publishing, or broadcasting any oral history project materials requires permission. For more information, see: http://content.lib.washington.edu","Sound; Text; StillImage","update URL for Restrictions","","","cpd","","","","1156610052","2020-04-09","2020-06-03","http://cdm16786.contentdm.oclc.org/cdm/ref/collection/p16786coll18/id/52","","49; 50; 51","52","53.cpd","/p16786coll18/image/53.cpd","foundingstories52","https://uwtacomalibrary.github.io/foundingstories/items/foundingstories52.html"
"William Philip, photograph","","","","","","","","","","","","","","Oral histories","","","","University of Washington Tacoma Oral History: Founding Stories","UWTOH201904-Image","","","","","","","StillImage","","","","image/jpg","image/jpg","uwtlib_uwtoralhistory_bphilip_photo.jpg","","","2020-04-09","2020-04-09","http://cdm16786.contentdm.oclc.org/cdm/ref/collection/p16786coll18/id/53","56","","53","54.jp2","/p16786coll18/image/54.jp2","foundingstories53","https://uwtacomalibrary.github.io/foundingstories/items/foundingstories53.html"
"William Philip, audio","","","","","","","","","","","","","","Oral histories","","","","University of Washington Tacoma Oral History: Founding Stories","UWTOH201904-Audio","","","","","","","Sound","","","0:56:26","audio/mp3","audio/wav","uwtlib_uwtoralhistory_bphilip_access.mp3","Converted from digital 24bit/96kHz wav files to 32bit/48kHz mp3 files in 2020.","","2020-04-09","2020-04-09","http://cdm16786.contentdm.oclc.org/cdm/ref/collection/p16786coll18/id/54","56","","54","55.mp3","/p16786coll18/image/55.mp3","foundingstories54","https://uwtacomalibrary.github.io/foundingstories/items/foundingstories54.html"
"William Philip, transcript","","","","","","","","","","","","","","Oral histories","","","","University of Washington Tacoma Oral History: Founding Stories","UWTOH201904-Transcript","","","","","","","Text","","","21 pages","application/pdf","text/docs","uwtlib_uwtoralhistory_bphilip_transcript.pdf","","","2020-04-09","2020-04-09","http://cdm16786.contentdm.oclc.org/cdm/ref/collection/p16786coll18/id/55","56","","55","56.pdf","/p16786coll18/image/56.pdf","foundingstories55","https://uwtacomalibrary.github.io/foundingstories/items/foundingstories55.html"
"Bill Philip interview","Philip, William","Wadland, Justin","2019-12-11","December 11, 2019","2019","Advisory board member","University of Washington Tacoma Advisory Board; Executive Council for A Greater Tacoma","In this interview, Bill Philip begins by sharing his personal background as a Tacoma native. He explains how the experience growing up in Tacoma and watching it suffer from urban decay compelled him to rally for investment in the city. He talks about how he leveraged his relationships with individuals such as George Weyerhaeuser—with whom he attended Lowell Elementary School—and former Seattle mayor Paul Schell to renew real estate in the city. He recalls his involvement in the powerful Executive Council for A Greater Tacoma with Gary Reed, Frank Shrontz, Erivan Haub, Goerge Russell, and others. He relates how, with the pressure and interest in branch campuses from Washington State University, the Executive Council raised funds and persuaded former University of Washington president Bill Gerberding to place a &amp;quot;branch campus&amp;quot; in downtown Tacoma. Later in the interview, he recalls former chancellor Vicky Carwein recruiting him to chair the UW Tacoma Advisory Board. Other individuals mentioned include former UW president Richard McCormick, governor Booth Gardner, Tacoma businessman Herb Simon, and others.","William &amp;quot;Bill&amp;quot; Philip (b. 1926) is a civic leader and philanthropist in Tacoma, Washington. He was the chairman and CEO of the former Puget Sound Bank and one of the founders and CEO of Columbia Bank. He is a founding supporter of UW Tacoma: In the 1980s, he advocated for a UW &amp;quot;branch campus&amp;quot; in Tacoma and persuaded decision makers to locate it downtown. After the campus opened, he continued to raise funds and voice support for public, corporate, and philanthropic investment in UW Tacoma. He was a member of the Executive Council for A Greater Tacoma, along with George Weyerhaeuser, George Russell, and others. He served for two terms as the chair of the UW Tacoma Advisory Board. He was awarded an Honorary Doctor of Humane Letters degree from University of Washington in 2017.","Philip, William, 1926- Interviews; Puget Sound Bank--Officials and employees; Columbia Bank--Officials and employees; South Puget Sound Higher Education Council; Executives--Washington (State)--Tacoma; Philanthropists--Washington (State)--Tacoma; University of Washington Tacoma--History","","South Puget Sound Higher Education Council; higher education; place-bound students; nontraditional students; urban development; Bill Gerberding; Executive Council for A Greater Tacoma; Advisory Board; Bill Gerberding; Richard L. McCormick; Sam Smith; Vicky Carwein; Washington State Legislature; George Russell; George Weyerhaeuser; William Philip","United States--Washington (State)--Tacoma","Oral histories","The oral history interview with Bill Philip was part of the “Founding Stories” phase of the UW Tacoma Oral History Project.","English","eng","University of Washington Tacoma Oral History: Founding Stories","UWTOH201904","To request a high resolution or uncompressed reproduction, or to obtain permission to use any portion of this item, contact University of Washington Tacoma Library. Email: taclibdc@uw.edu. Please reference the Digital ID Number.","University of Washington Libraries, University of Washington Tacoma Library, UWTOH201904","University of Washington Tacoma Library","University of Washington Tacoma Oral History: Founding Stories","http://rightsstatements.org/vocab/InC-EDU/1.0/","Individuals may use project materials for scholarly or research purposes, according to the provisions of fair use, but reproducing, publishing, or broadcasting any oral history project materials requires permission. For more information, see: http://content.lib.washington.edu","Sound; Text; StillImage","update URL for Restrictions","","","cpd","","","","1156626192","2020-04-09","2020-06-03","http://cdm16786.contentdm.oclc.org/cdm/ref/collection/p16786coll18/id/56","","53; 54; 55","56","57.cpd","/p16786coll18/image/57.cpd","foundingstories56","https://uwtacomalibrary.github.io/foundingstories/items/foundingstories56.html"
"Michael Kalton, photograph","","","","","","","","","","","","","","Oral histories","","","","University of Washington Tacoma Oral History: Founding Stories","UWTOH201806-Image","","","","","","","StillImage","","","","image/jpg","image/jpg","uwtlib_uwtoralhistory_mkalton_photo.jpg","","","2020-04-09","2020-04-09","http://cdm16786.contentdm.oclc.org/cdm/ref/collection/p16786coll18/id/57","60","","57","58.jp2","/p16786coll18/image/58.jp2","foundingstories57","https://uwtacomalibrary.github.io/foundingstories/items/foundingstories57.html"
"Michael Kalton, audio","","","","","","","","","","","","","","Oral histories","","","","University of Washington Tacoma Oral History: Founding Stories","UWTOH201806-Audio","","","","","","","Sound","","","1:16:38","audio/mp3","audio/wav","uwtlib_uwtoralhistory_mkalton_access.mp3","Converted from digital 24bit/96kHz wav files to 16bit/24kHz mp3 files in 2018.","","2020-04-09","2020-04-09","http://cdm16786.contentdm.oclc.org/cdm/ref/collection/p16786coll18/id/58","60","","58","59.mp3","/p16786coll18/image/59.mp3","foundingstories58","https://uwtacomalibrary.github.io/foundingstories/items/foundingstories58.html"
"Michael Kalton, transcript","","","","","","","","","","","","","","Oral histories","","","","University of Washington Tacoma Oral History: Founding Stories","UWTOH201806-Transcript","","","","","","","Text","","","14 pages","application/pdf","text/docs","uwtlib_uwtoralhistory_mkalton_transcript.pdf","","","2020-04-09","2020-04-09","http://cdm16786.contentdm.oclc.org/cdm/ref/collection/p16786coll18/id/59","60","","59","60.pdf","/p16786coll18/image/60.pdf","foundingstories59","https://uwtacomalibrary.github.io/foundingstories/items/foundingstories59.html"
